Iteration,fy_speed_1,fy_dir_x,fy_dir_y,dt1,cv1,dt2_int,cv2,dt3_int,cv3,Actual_dt2,Actual_dt3,Obscured_Duration
Evaluation,120,-1,0,1.5,3.6,1.0,5,1.0,5,2.5,3.5,2.769999999999963
Evaluation,125.75800908021631,-0.6331304202676724,0.7796910002727695,22.660935970377214,4.513744253250553,1.3998996632720115,4.646564030462086,2.334834444556088,1.514381497427214,24.060835633649226,26.395670078205313,0.0
Invalid,115.56219310641971,-0.8871768419457995,0.7219987722668249,35.577292400795365,0.10770978182604186,4.968846237164871,6.213066945314394,3.446612641953124,0.16995642167520236,40.54613863796023,43.99275127991336,N/A (Invalid Actual Drop Time)
Evaluation,71.61436975289911,0.04954932051677852,0.3998609717152556,1.8639620694746633,9.740179636530447,1.9310853617212171,0.997003701874926,3.4735440373323496,3.8863737135449123,3.79504743119588,7.26859146852823,0.0
Evaluation,138.8261620064752,-0.06647421350403993,0.8599404067363208,25.815624958618077,4.559942594498477,1.0530598446394661,9.427797381280044,3.2531528713821576,3.9156233751451706,26.868684803257544,30.1218376746397,0.0
Evaluation,71.117637655415,-0.5382123487557019,0.24102546602601177,25.927361011602326,6.138966912047948,4.332779646944658,1.816310069726944,2.5642424302929636,1.9041372691018175,30.260140658546984,32.824383088839944,0.0
Evaluation,122.8752987222357,-0.14968825101751038,0.20794166286818888,21.55907239159568,0.4100015953100301,4.3691390983799945,4.5525659203606805,2.580600944007258,9.273922771358565,25.928211489975673,28.508812433982932,0.0
Evaluation,120.90903970994947,-0.34691846238832913,0.5704439744053995,19.787535028976137,9.61560304105856,4.378135394712606,7.4984690903600715,3.1587685295563195,5.908836540072098,24.165670423688745,27.324438953245064,0.0
Evaluation,137.56787150848967,0.21406849537336958,0.2759991820225434,11.299138515614315,1.736142696723725,1.0625456269647757,4.2916746589930606,2.5795260727022793,3.005532929708578,12.36168414257909,14.94121021528137,0.0
Evaluation,70.98558759005591,-0.6023151918223896,0.7113419527486501,29.96863543207958,6.099003750332014,4.705203514053396,6.545662552469251,4.659838702175124,8.515381920119015,34.673838946132975,39.3336776483081,0.0
Evaluation,101.46154718967425,-0.8091797670191774,0.3708182521982664,25.38219935068436,6.692631330513218,3.365191150830909,2.819745750601636,3.244973703390805,3.8909760600625205,28.74739050151527,31.992364204906075,0.0
Invalid,96.12149188819392,-0.1380130212957691,0.08146944643331218,35.06572873838916,7.880293257012746,3.365492705687061,0.7216040873101807,3.6213475530420904,8.308690899372644,38.43122144407622,42.052568997118314,N/A (Invalid Actual Drop Time)
Evaluation,140.0,-1.0,1.0,28.616612758074815,0.1,1.0,10.0,5.0,10.0,29.616612758074815,34.616612758074815,0.0
Evaluation,140.0,-1.0,0.0,7.225542662847746,0.1,1.0,10.0,1.0,10.0,8.225542662847747,9.225542662847747,0.0
Evaluation,70.0,1.0,0.0,15.303960074263932,0.1,5.0,0.1,1.0,10.0,20.303960074263934,21.303960074263934,0.0
Evaluation,140.0,-1.0,0.0,4.86133257106151,0.1,1.0,10.0,1.0,0.1,5.86133257106151,6.86133257106151,0.0
Evaluation,140.0,-1.0,1.0,17.37711727550451,0.1,1.0,10.0,5.0,0.1,18.37711727550451,23.37711727550451,0.0
Evaluation,70.0,1.0,1.0,9.331753804435795,10.0,5.0,9.975446570599145,4.987650475254619,0.1,14.331753804435795,19.319404279690414,0.0
Evaluation,70.0,1.0,1.0,0.1,10.0,5.0,0.1,5.0,0.1,5.1,10.1,0.0
Evaluation,70.0,-1.0,1.0,13.316997821499697,10.0,5.0,10.0,5.0,0.1,18.316997821499697,23.316997821499697,0.0
Evaluation,70.0,0.9444622465629309,0.9880625397799269,29.386151450888974,9.79702633018889,5.0,0.10551540631812151,1.1294520457825248,0.1,34.386151450888974,35.515603496671496,0.0
Evaluation,140.0,-1.0,1.0,3.4357156027388793,0.1,4.999195183864279,10.0,1.0,10.0,8.434910786603158,9.434910786603158,0.0
Evaluation,135.09042662449917,-1.0,0.0,29.516555305297327,0.1,1.1606736618413849,10.0,5.0,10.0,30.677228967138714,35.67722896713872,0.0
Evaluation,70.0,0.9999999968349909,4.118637802661312e-09,0.1,10.0,1.0,0.1,3.4976709373042603,9.99999988910518,1.1,4.59767093730426,3.0399999999999574
Evaluation,84.26244239875487,0.6387289065905539,0.19180057209052825,3.1632425215186184,9.25520801518903,1.3896069227099188,1.1429923874503554,4.551895771378623,2.24244413486984,4.552849444228537,9.10474521560716,0.0
Evaluation,70.0,-1.0,1.0,27.321926206780372,10.0,5.0,10.0,5.0,10.0,32.321926206780375,37.321926206780375,0.0
Evaluation,70.0,0.9799438009051151,0.0,18.50224917695185,10.0,5.0,0.1,1.0,10.0,23.50224917695185,24.50224917695185,0.0
Evaluation,81.90348512717804,-0.1372971970487894,0.866954526231265,11.443822459053361,4.350093202853642,2.5856834012501135,6.716170256030597,2.5228476359681564,8.028965185920317,14.029505860303475,16.552353496271632,0.0
Evaluation,70.0,1.0,1.0,6.082809095300871,10.0,5.0,0.1,5.0,10.0,11.08280909530087,16.08280909530087,0.0
Evaluation,70.0,1.0,1.0,23.92248706335114,0.1,5.0,10.0,5.0,10.0,28.92248706335114,33.92248706335114,0.0
Evaluation,70.6951979309358,-0.4641079177100986,0.7045456606951058,27.727140755948074,7.981759322796612,2.224056766451006,8.638044914716081,4.964960151802536,7.749202265724578,29.95119752239908,34.916157674201614,0.0
Evaluation,137.09889714725836,0.9234832583273602,1.0,8.176268227104481,9.354777183903527,4.998385174774285,0.1,5.0,0.1,13.174653401878766,18.174653401878764,0.0
